userid,vzor_id,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
Vdz0RsiozHP4K6UydnPn7SYRwwE2,3,1743239104296000000,,move,100,1215,0.247059,0,-1.74058,7.56807,4.66151,-0.0232129,0.691499,0.37385
Vdz0RsiozHP4K6UydnPn7SYRwwE2,3,1743239104329000000,,move,98,1157,0.262745,0,-1.36709,7.81946,4.67827,-0.178373,0.426384,0.243124
Vdz0RsiozHP4K6UydnPn7SYRwwE2,3,1743239104346000000,,move,105,1134,0.278431,0,-1.54665,7.18739,6.00705,-0.321315,-0.0177151,0.00610865
Vdz0RsiozHP4K6UydnPn7SYRwwE2,3,1743239104363000000,,move,118,1121,0.294118,0,-2.00874,6.90727,6.76601,-0.28955,-0.43066,-0.24679
Vdz0RsiozHP4K6UydnPn7SYRwwE2,3,1743239104379000000,,move,134,1114,0.305882,0,-2.15718,6.89291,5.99987,-0.18326,-0.479529,-0.301767
Vdz0RsiozHP4K6UydnPn7SYRwwE2,3,1743239104396000000,,move,146,1112,0.301961,0,-1.76932,7.16106,4.94163,-0.171653,-0.841161,-0.39523
Vdz0RsiozHP4K6UydnPn7SYRwwE2,3,1743239104429000000,,move,186,1119,0.254902,0,-1.75495,7.16106,4.28323,-0.31032,-1.18202,-0.549779
Vdz0RsiozHP4K6UydnPn7SYRwwE2,3,1743239104446000000,,move,223,1127,0.231373,0,-1.35512,6.3183,5.26246,-0.62125,-1.37994,-0.637743
Vdz0RsiozHP4K6UydnPn7SYRwwE2,3,1743239104463000000,,move,268,1138,0.203922,0,-0.986411,5.87537,8.46111,-0.836885,-1.7654,-0.664621
Vdz0RsiozHP4K6UydnPn7SYRwwE2,3,1743239104479000000,,move,315,1155,0.188235,0,-1.00317,6.13394,9.4164,-0.682947,-1.48624,-0.611476
