userid,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842121000000,,move,189.924,1511.96,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842138000000,,move,181.805,1512.9,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842147000000,,move,181.967,1523.47,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842174000000,,move,181.967,1527.94,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842204000000,,move,177.02,1541.9,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842221000000,,move,163.713,1562.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842238000000,,move,151.974,1586.85,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842254000000,,move,144.986,1596.81,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842271000000,,move,144.986,1614.35,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842280000000,,move,144.986,1622.96,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842399000000,,move,151.974,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842421000000,,move,161.448,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842454000000,,move,186.646,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842475000000,,move,200.951,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842488000000,,move,228.557,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842549000000,,move,368.465,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842571000000,,move,384.818,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842588000000,,move,410.892,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842604000000,,move,436.364,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842621000000,,move,454.462,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842638000000,,move,493.611,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842654000000,,move,537.587,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842671000000,,move,571.812,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842688000000,,move,598.451,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842704000000,,move,622.437,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842721000000,,move,635.048,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842738000000,,move,662.52,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842754000000,,move,675.493,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842771000000,,move,690.928,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842788000000,,move,703.028,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842838000000,,move,716.605,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842848000000,,move,740.489,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842870000000,,move,744.924,1615.95,1,0.000000596046,,,,,,
qVaPGeVuG3ODothSZUPTAt3OvpO2,1736696842904000000,,move,755.568,1615.95,1,0.000000596046,,,,,,
