userid,vzor_id,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032351000000,,move,145,671,0.278431,0,-2.87065,8.90643,2.43011,0.0293215,-0.0140499,-0.0494801
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032384000000,,move,145,690,0.25098,0,-2.8491,9.22007,1.86748,0.0293215,-0.0140499,-0.0494801
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032401000000,,move,145,728,0.25098,0,-2.32716,8.60237,1.44131,0.0293215,-0.0140499,-0.0494801
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032417000000,,move,143,780,0.239216,0,-2.38702,7.77637,3.09091,0.0293215,-0.0140499,-0.0494801
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032434000000,,move,142,838,0.223529,0,-2.44687,7.81467,4.64715,-1.31886,-1.08795,-0.290161
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032450000000,,move,142,898,0.219608,0,-2.34153,7.71651,5.86819,-1.26755,-1.19119,-0.296881
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032467000000,,move,143,955,0.219608,0,-2.54504,7.36456,6.42843,-1.10444,-1.19058,-0.314596
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032501000000,,move,149,1039,0.215686,0,-2.27449,7.21373,6.77799,-0.873537,-1.11483,-0.28222
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032517000000,,move,153,1067,0.219608,0,-2.40857,7.42921,6.24647,-0.468534,-0.774577,-0.195477
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032534000000,,move,157,1092,0.219608,0,-2.31759,7.65187,5.79636,-0.333532,-0.498466,-0.130725
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032551000000,,move,161,1114,0.223529,0,-2.12605,7.50343,5.70538,-0.296881,-0.302378,-0.0928515
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032567000000,,move,164,1130,0.223529,0,-2.25055,7.58483,5.95199,-0.278555,-0.32498,-0.105069
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032601000000,,move,172,1147,0.231373,0,-2.6001,7.57765,6.35421,-0.243124,-0.408669,-0.100793
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032618000000,,move,175,1150,0.239216,0,-2.64559,7.6806,6.62476,-0.142942,-0.481362,-0.0629191
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032634000000,,move,180,1150,0.247059,0,-2.23858,7.47949,6.33506,0.0329867,-0.469755,-0.00671952
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032651000000,,move,185,1146,0.243137,0,-2.0662,7.69975,5.73651,0.197309,-0.38851,0.0323759
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032668000000,,move,191,1138,0.243137,0,-2.0662,7.77637,5.38456,0.233351,-0.26817,0.0195477
