userid,vzor_id,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
,1,1743239032746561690,,,,,,,,,,0.264505,0.0342085,0.0213803
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032751000000,,move,279,991,0.223529,0,,,,,,
,1,1743239032766397912,,,,,,,-2.05901,7.78834,5.16429,,,
,1,1743239032766672567,,,,,,,,,,0.256563,0.0812451,0.0348193
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032768000000,,move,304,953,0.215686,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032784000000,,move,337,916,0.207843,0,,,,,,
,1,1743239032786478271,,,,,,,-2.16915,8.01579,4.66151,,,
,1,1743239032786752927,,,,,,,,,,0.246179,0.185703,0.0311541
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032801000000,,move,378,878,0.203922,0,,,,,,
,1,1743239032806558632,,,,,,,-2.20506,8.10437,4.16591,,,
,1,1743239032806833287,,,,,,,,,,0.181427,0.178373,0.0354302
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032818000000,,move,417,845,0.203922,0,,,,,,
,1,1743239032826638992,,,,,,,-2.03507,7.8865,5.23612,,,
,1,1743239032826883130,,,,,,,,,,0.0458149,0.0305433,0.0421497
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032834000000,,move,448,821,0.196078,0,,,,,,
,1,1743239032846719351,,,,,,,-2.03747,7.66623,5.60722,,,
,1,1743239032846963490,,,,,,,,,,0.0458149,-0.0109956,0.0109956
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032851000000,,move,473,800,0.196078,0,,,,,,
,1,1743239032866799712,,,,,,,-2.16675,7.73567,5.40371,,,
,1,1743239032867043849,,,,,,,,,,0.131947,0.0763582,0.000610865
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032868000000,,move,491,783,0.2,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032884000000,,move,505,765,0.2,0,,,,,,
,1,1743239032886880072,,,,,,,-2.09732,7.75482,5.07092,,,
,1,1743239032887124210,,,,,,,,,,0.163712,0.139888,0.0109956
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032901000000,,move,517,750,0.203922,0,,,,,,
,1,1743239032906929915,,,,,,,-2.05662,7.88411,4.97994,,,
,1,1743239032907204570,,,,,,,,,,0.160658,0.13439,0.018326
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032918000000,,move,525,739,0.207843,0,,,,,,
,1,1743239032927010274,,,,,,,-2.07577,8.02297,5.17866,,,
,1,1743239032927284930,,,,,,,,,,0.149051,0.0287107,0.0116064
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032935000000,,move,530,730,0.203922,0,,,,,,
,1,1743239032947090635,,,,,,,-2.24097,7.89368,5.10923,,,
,1,1743239032947365290,,,,,,,,,,0.127671,0.0427606,-0.00794125
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032951000000,,move,536,721,0.2,0,,,,,,
,1,1743239032967170994,,,,,,,-2.07338,8.00621,4.96318,,,
,1,1743239032967445650,,,,,,,,,,0.136223,0.0757473,0.00549779
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032968000000,,move,545,711,0.2,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032984000000,,move,556,703,0.203922,0,,,,,,
,1,1743239032987251355,,,,,,,-2.1476,7.95833,4.56095,,,
,1,1743239032987526010,,,,,,,,,,0.132558,0.142942,0.00244346
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033001000000,,move,565,695,0.207843,0,,,,,,
,1,1743239033007331715,,,,,,,-2.17633,7.93917,4.63278,,,
,1,1743239033007606370,,,,,,,,,,0.0781908,0.147219,0.00366519
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033018000000,,move,572,687,0.203922,0,,,,,,
,1,1743239033027412074,,,,,,,-2.17872,7.94396,5.07571,,,
,1,1743239033027686731,,,,,,,,,,0.0250455,0.0696386,-0.00427606
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033035000000,,move,577,680,0.203922,0,,,,,,
,1,1743239033047492435,,,,,,,-2.1452,7.88171,4.94403,,,
,1,1743239033047767090,,,,,,,,,,0.0476475,0.0928515,-0.0146608
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033051000000,,move,582,674,0.207843,0,,,,,,
,1,1743239033067572795,,,,,,,-2.27449,7.9272,4.79319,,,
,1,1743239033067847451,,,,,,,,,,0.0500909,0.14111,-0.013439
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033068000000,,move,588,668,0.203922,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033085000000,,move,596,661,0.203922,0,,,,,,
,1,1743239033087653155,,,,,,,-2.15718,7.92002,4.70939,,,
,1,1743239033087927810,,,,,,,,,,0.0244346,0.208305,-0.000610865
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033101000000,,move,602,657,0.203922,0,,,,,,
,1,1743239033107733515,,,,,,,-2.28886,7.9703,5.17387,,,
,1,1743239033108008170,,,,,,,,,,-0.00610865,0.26145,0.00305433
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033118000000,,move,606,654,0.207843,0,,,,,,
,1,1743239033127813876,,,,,,,-2.35829,8.04452,5.40132,,,
,1,1743239033128088531,,,,,,,,,,0.0305433,0.233351,0.00488692
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033135000000,,move,607,654,0.203922,0,,,,,,
,1,1743239033147894235,,,,,,,-2.51391,8.16423,5.5761,,,
,1,1743239033148168890,,,,,,,,,,0.105069,0.200364,0.0128282
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033151000000,,move,607,653,0.192157,0,,,,,,
,1,1743239033167974595,,,,,,,-1.6113,7.85059,4.81474,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033168000000,,move,605,653,0.0509804,0,,,,,,
,1,1743239033168249251,,,,,,,,,,0.202196,0.394008,0.054367
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033176000000,,up,605,653,0.0509804,0,,,,,,
,1,1743239033188054955,,,,,,,-2.35829,8.27197,4.32632,,,
,1,1743239033188329611,,,,,,,,,,0.229074,0.93218,0.018326
,1,1743239033208135315,,,,,,,-2.82037,8.22169,4.72137,,,
,1,1743239033208409970,,,,,,,,,,0.129503,1.05741,0.0280998
,1,1743239033228215676,,,,,,,-2.56419,7.8434,5.51624,,,
,1,1743239033228490331,,,,,,,,,,0.117286,0.888809,0.0561996
,1,1743239033248296035,,,,,,,-2.87544,7.85538,5.1212,,,
,1,1743239033248570690,,,,,,,,,,0.216246,0.736704,0.0335976
,1,1743239033268376395,,,,,,,-2.88022,8.02776,4.45082,,,
,1,1743239033268651051,,,,,,,,,,0.302989,0.726319,0.0592539
,1,1743239033288456756,,,,,,,-2.88741,7.94157,4.44124,,,
,1,1743239033288731411,,,,,,,,,,0.301157,0.681115,0.0842994
,1,1743239033308567633,,,,,,,-2.93769,7.9703,4.90093,,,
,1,1743239033308811770,,,,,,,,,,0.306043,0.706771,0.126449
,1,1743239033328647993,,,,,,,-2.9736,7.96551,4.67827,,,
,1,1743239033328892131,,,,,,,,,,0.407447,0.81917,0.167988
,1,1743239033348697835,,,,,,,-2.77249,8.25521,4.03662,,,
,1,1743239033348972491,,,,,,,,,,0.513127,0.838718,0.20464
,1,1743239033368778195,,,,,,,-3.02148,8.54012,3.21541,,,
