userid,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739294695027000000,,up,196.963,883.922,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739294695469000000,,down,196.963,883.922,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739294695696000000,,up,196.963,883.922,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739294696067000000,,down,196.963,883.922,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739294696289000000,,up,196.963,883.922,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739294696817000000,,down,196.963,883.922,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739294697039000000,,up,196.963,883.922,1,0.000000596046,,,
,1739295459818000000,portrait,up,196.963,883.922,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295460228000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295460333000000,,up,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295460708000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295460824000000,,up,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295461044000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295461099000000,,up,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295461225000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295461286000000,,up,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295461374000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295461442000000,,up,200.984,855.941,1,0.000000596046,,,
