userid,vzor_id,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033068000000,,move,588,668,0.203922,0,-2.27449,7.9272,4.79319,0.0500909,0.14111,-0.013439
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033101000000,,move,602,657,0.203922,0,-2.15718,7.92002,4.70939,0.0244346,0.208305,-0.000610865
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033118000000,,move,606,654,0.207843,0,-2.28886,7.9703,5.17387,-0.00610865,0.26145,0.00305433
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033135000000,,move,607,654,0.203922,0,-2.35829,8.04452,5.40132,0.0305433,0.233351,0.00488692
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033151000000,,move,607,653,0.192157,0,-2.51391,8.16423,5.5761,0.105069,0.200364,0.0128282
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033402000000,,down,140,686,0.203922,0,-3.05021,8.63589,2.75812,0.463647,0.48686,0.108123
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033418000000,,move,140,686,0.282353,0,-2.73897,8.69574,0.428562,0.301767,0.210138,0.0714712
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033435000000,,move,140,686,0.298039,0,-3.06937,8.8777,1.70946,-0.0568105,-0.165544,0.0140499
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033452000000,,move,140,686,0.294118,0,-2.87783,8.65025,2.8922,-0.274278,-0.461814,-0.00671952
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033485000000,,move,141,694,0.25098,0,-2.8491,8.57842,3.30879,-0.345139,-0.56505,-0.031765
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033502000000,,move,142,711,0.247059,0,-3.06218,9.06205,2.70784,-0.40256,-0.618806,-0.0897972
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033518000000,,move,140,753,0.239216,0,-2.61447,8.18578,2.65278,-0.563218,-0.6634,-0.12706
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033535000000,,move,137,806,0.227451,0,-2.44687,7.7213,3.83791,-0.809396,-0.801455,-0.149662
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033552000000,,move,134,862,0.219608,0,-2.52588,7.6806,4.58011,-0.951117,-1.07085,-0.186314
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033585000000,,move,135,953,0.219608,0,-2.6432,7.61117,5.51145,-0.937067,-1.0684,-0.191201
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033602000000,,move,137,990,0.215686,0,-2.34632,7.6806,6.19141,-0.803288,-0.963335,-0.166155
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033619000000,,move,140,1025,0.215686,0,-2.53067,7.60638,6.4021,-0.611476,-0.775188,-0.165544
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033635000000,,move,144,1053,0.219608,0,-2.55461,7.61117,5.80115,-0.408669,-0.518014,-0.137445
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033652000000,,move,148,1076,0.219608,0,-2.48997,7.61356,5.14035,-0.290772,-0.433103,-0.086132
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033685000000,,move,156,1105,0.215686,0,-2.28886,7.70694,5.41329,-0.300546,-0.489914,-0.0445932
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033702000000,,move,160,1119,0.223529,0,-2.25294,7.72848,5.41808,-0.33903,-0.513127,-0.0555887
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033719000000,,move,165,1130,0.219608,0,-2.28646,7.65905,5.63356,-0.355524,-0.387289,-0.0745256
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033735000000,,move,169,1139,0.219608,0,-2.43011,7.58722,5.9448,-0.313985,-0.267559,-0.0775799
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033752000000,,move,173,1148,0.223529,0,-2.27689,7.39808,6.49307,-0.230907,-0.244346,-0.0415388
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033785000000,,move,179,1158,0.25098,0,-2.26013,7.42681,6.8546,-0.0855211,-0.220522,-0.0280998
